0.00|9.81|0.00|0.00|0.00|0.00|2.00|0.50|1.00|37.6329917907|127.0775451660|830.01|45.75|24.55|0.00
0.00|9.81|0.00|0.00|0.00|0.00|4.00|1.41|1.00|37.6329650878|127.0775375366|722.97|72.51|24.29|0.00
0.00|9.81|0.00|0.00|0.00|0.00|6.00|2.60|1.00|37.6329116821|127.0775375366|647.02|91.50|24.11|0.00
0.00|9.81|0.00|0.00|0.00|0.00|8.00|4.00|1.00|37.6328430175|127.0775299072|588.11|106.22|23.96|0.00
0.00|9.81|0.00|0.00|0.00|0.00|10.00|5.59|1.00|37.6327514648|127.0775299072|539.98|118.26|23.85|0.00
0.00|9.81|0.00|0.00|0.00|0.00|12.00|7.35|1.00|37.6326446533|127.0775299072|499.28|128.43|23.75|0.00
0.00|9.81|0.00|0.00|0.00|0.00|14.00|9.26|1.00|37.6325149536|127.0775299072|464.03|137.24|23.66|0.00
0.00|9.81|0.00|0.00|0.00|0.00|16.00|11.31|1.00|37.6323623657|127.0775222778|432.93|145.02|23.58|0.00
0.00|9.81|0.00|0.00|0.00|0.00|18.00|13.50|1.00|37.6321945190|127.0775222778|405.12|151.97|23.52|0.00
0.00|9.81|0.00|0.00|0.00|0.00|20.00|15.81|1.00|37.6320037841|127.0775222778|379.96|158.26|23.46|0.00
0.00|9.81|0.00|0.00|0.00|0.00|22.00|18.24|1.00|37.6317939758|127.0775222778|356.98|164.00|23.40|0.00
0.00|9.81|0.00|0.00|0.00|0.00|24.00|20.78|1.00|37.6315650939|127.0775146484|335.85|169.29|23.35|0.00
0.00|9.81|0.00|0.00|0.00|0.00|26.00|23.44|1.00|37.6313133239|127.0775146484|316.29|174.18|23.30|0.00
0.00|9.81|0.00|0.00|0.00|0.00|28.00|26.19|1.00|37.6310424804|127.0775146484|298.07|178.73|23.26|0.00
0.00|9.81|0.00|0.00|0.00|0.00|30.00|29.05|1.00|37.6307525634|127.0775146484|281.04|182.99|23.21|0.00
0.00|9.81|0.00|0.00|0.00|0.00|32.00|32.00|1.00|37.6304435729|127.0775146484|265.03|186.99|23.17|0.00
0.00|9.81|0.00|0.00|0.00|0.00|34.00|35.05|1.00|37.6301116943|127.0775146484|249.94|190.76|23.14|0.00
0.00|9.81|0.00|0.00|0.00|0.00|36.00|38.18|1.00|37.6297645568|127.0775070190|235.67|194.33|23.10|0.00
0.00|9.81|0.00|0.00|0.00|0.00|38.00|41.41|1.00|37.6293945312|127.0775070190|222.13|197.72|23.07|0.00
0.00|9.81|0.00|0.00|0.00|0.00|40.00|44.72|1.00|37.6290016174|127.0775070190|209.25|200.94|23.04|0.00
-0.55|0.84|0.84|0.00|0.00|0.00|-0.50|1.96|1.00|37.6290092468|127.0775451660|233.00|195.00|23.10|0.00
-1.00|9.77|-0.01|0.00|0.00|0.00|-0.59|1.95|1.00|37.6290092468|127.0775527954|253.00|190.00|23.15|0.00
-0.53|1.19|-0.85|0.00|0.00|0.00|-0.67|1.95|1.00|37.6290092468|127.0775527954|273.00|185.00|23.19|0.00
0.42|9.78|-0.91|0.00|0.00|0.00|-0.74|1.94|1.00|37.6290092468|127.0775527954|293.00|180.00|23.24|0.00
0.99|0.79|-0.13|0.00|0.00|0.00|-0.80|1.94|1.00|37.6290092468|127.0775527954|313.00|175.00|23.29|0.00
0.65|9.81|0.76|0.00|0.00|0.00|-0.86|1.93|1.00|37.6290054321|127.0775604248|333.00|170.00|23.34|0.00
-0.29|0.97|0.96|0.00|0.00|0.00|-0.90|1.93|1.00|37.6290054321|127.0775604248|353.00|165.00|23.39|0.00
-0.96|9.77|0.27|0.00|0.00|0.00|-0.94|1.92|1.00|37.6290054321|127.0775604248|373.00|160.00|23.44|0.00
-0.75|1.15|-0.66|0.00|0.00|0.00|-0.97|1.92|1.00|37.6290054321|127.0775604248|393.00|155.00|23.49|0.00
0.15|9.79|-0.99|0.00|0.00|0.00|-0.99|1.91|1.00|37.6290016174|127.0775680541|413.00|150.00|23.54|0.00
0.91|0.71|-0.40|0.00|0.00|0.00|-1.00|1.90|1.00|37.6290016174|127.0775680541|433.00|145.00|23.58|0.00
0.83|9.80|0.55|0.00|0.00|0.00|-1.00|1.90|1.00|37.6290016174|127.0775680541|453.00|140.00|23.63|0.00
-0.01|1.10|1.00|0.00|0.00|0.00|-0.99|1.89|1.00|37.6290016174|127.0775680541|473.00|135.00|23.68|0.00
-0.85|9.76|0.53|0.00|0.00|0.00|-0.97|1.89|1.00|37.6289978027|127.0775756835|493.00|130.00|23.73|0.00
-0.90|1.05|-0.43|0.00|0.00|0.00|-0.94|1.88|1.00|37.6289978027|127.0775756835|513.00|125.00|23.78|0.00
-0.13|9.80|-0.99|0.00|0.00|0.00|-0.90|1.87|1.00|37.6289978027|127.0775756835|533.00|120.00|23.83|0.00
